Kabupaten/Kota,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak Menurut Kabupaten/Kota di Provinsi Sulawesi Tenggara (Persen),Rasio Elektrifikas,Persentase Penduduk Berumur 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Kabupaten/Kota (Persen)
Buton,80.33,99.59,55.14
Muna,85.31,99.07,54.47
Konawe,90.5,99.65,62.38
Kolaka,93.56,99.93,66.79
Konawe Selatan,92.36,99.9,63.95
Bombana,86.24,99.42,58.42
Wakatobi,85.03,99.23,53.79
Kolaka Utara,92.89,98.67,76.75
Buton Utara,71.64,99.73,58.77
Konawe Utara,82.74,100.0,69.68
Kolaka Timur,93.37,99.57,62.25
Konawe Kepulauan,73.71,100.0,58.02
Muna Barat,71.66,99.74,62.33
Buton Tengah,85.49,99.99,52.88
Buton Selatan,83.7,99.85,51.73
Kendari,93.77,100.0,85.61
Baubau,96.99,100.0,76.37
