Kabupaten/Kota,Garis Kemiskinan Menurut Kabupaten/Kota (Ribu Rupiah),Jumlah Penduduk Miskin Menurut Kabupaten/Kota (Ribu Jiwa),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Buton,302183,14.15,13.77
Muna,419071,32.24,14.07
Konawe,400581,33.09,13.02
Kolaka,464000,32.96,11.8
Konawe Selatan,331620,36.84,11.26
Bombana,406706,20.52,10.73
Wakatobi,340151,15.35,14.81
Kolaka Utara,517092,21.79,13.57
Buton Utara,403834,9.09,14.06
Konawe Utara,381620,9.01,13.48
Kolaka Timur,513085,20.41,14.04
Konawe Kepulauan,393000,5.44,15.9
Muna Barat,412697,11.81,14.03
Buton Tengah,299593,14.46,15.43
Buton Selatan,290203,11.88,14.76
Kendari,503369,19.24,4.59
Baubau,412008,13.29,7.53
