Kabupaten/Kota,Jumlah Sekolah (SMA) Kabupaten/Kota di SUlawesi Tenggara,Jumlah Murid SMA (di Bawah Kementerian Pendidikan dan Kebudayaan) (Jiwa),Rata-rata Lama Sekolah (Tahun),Indeks Pembangunan Manusia (IPM) Laki-laki,Indeks Pembangunan Manusia (IPM) Perempuan
Buton,23,5524,8.49,75.99,62.22
Muna,35,9402,8.53,75.98,66.84
Konawe,28,8891,9.56,77.8,72.85
Kolaka,15,6046,9.35,79.57,71.93
Konawe Selatan,29,9874,8.51,74.86,66.3
Bombana,26,5539,8.07,72.77,62.4
Wakatobi,20,4569,8.51,76.13,67.91
Kolaka Utara,8,3294,8.81,71.94,70.8
Buton Utara,11,3166,9.12,73.79,68.18
Konawe Utara,11,3032,9.6,76.48,66.58
Kolaka Timur,14,3463,8.4,69.86,69.35
Konawe Kepulauan,6,1518,9.45,73.36,63.15
Muna Barat,13,3315,7.86,71.76,64.16
Buton Tengah,18,4431,7.34,72.35,60.15
Buton Selatan,16,4019,7.65,74.05,54.83
Kendari,28,12115,12.53,87.64,83.94
Baubau,12,6004,11.02,82.99,76.18
